,question,answer,key phrases
1994,Is there a way to have a defaultdict(defaultdict(int)) in order to make the following code work?,The parameter to the defaultdict constructor is the function which will be called for building new elements. So let's use a lambda !,
1999,"I'm curious, whether there is any way to print formatted numpy.arrays, e.g., in a way similar to this:","You can get a subset of the np.set_printoptions functionality from the np.array_str command, which applies only to a single print statement.",
2001,"I'm curious, whether there is any way to print formatted numpy.arrays, e.g., in a way similar to this:","FYI Numpy 1.15 (release date pending) will include a context manager for setting print options locally. This means that the following will work the same as the corresponding example in the accepted answer (by unutbu and Neil G) without having to write your own context manager. E.g., using their example:",
2002,"I'm curious, whether there is any way to print formatted numpy.arrays, e.g., in a way similar to this:","The gem that makes it all too easy to obtain the result as a string (in today's numpy versions) is hidden in denis answer:
np.array2string",
2003,"I am getting a ValueError: cannot reindex from a duplicate axis when I am trying to set an index to a certain value. I tried to reproduce this with a simple example, but I could not do it.","This error usually rises when you join / assign to a column when the index has duplicate values. Since you are assigning to a row, I suspect that there is a duplicate value in affinity_matrix.columns, perhaps not shown in your question.",
2005,"I am getting a ValueError: cannot reindex from a duplicate axis when I am trying to set an index to a certain value. I tried to reproduce this with a simple example, but I could not do it.","Indices with duplicate values often arise if you create a DataFrame by concatenating other DataFrames. IF you don't care about preserving the values of your index, and you want them to be unique values, when you concatenate the the data, set ignore_index=True.",
2006,"I am getting a ValueError: cannot reindex from a duplicate axis when I am trying to set an index to a certain value. I tried to reproduce this with a simple example, but I could not do it.","For people who are still struggling with this error, it can also happen if you accidentally create a duplicate column with the same name.  Remove duplicate columns like so:",
2008,In C# there's a null-coalescing operator (written as ??) that allows for easy (short) null checking during assignment:,"Ok, it must be clarified how the or operator works. It is a boolean operator, so it works in a boolean context. If the values are not boolean, they are converted to boolean for the purposes of the operator.",
2013,"I'm using Python's logging module to log some debug strings to a file which works pretty well. Now in addition, I'd like to use this module to also print the strings out to stdout. How do I do this? In order to log my strings to a file I use following code:","Just get a handle to the root logger and add the StreamHandler. The StreamHandler writes to stderr. Not sure if you really need stdout over stderr, but this is what I use when I setup the Python logger and I also add the FileHandler as well. Then all my logs go to both places (which is what it sounds like you want).",
2014,"I'm using Python's logging module to log some debug strings to a file which works pretty well. Now in addition, I'd like to use this module to also print the strings out to stdout. How do I do this? In order to log my strings to a file I use following code:","logging.basicConfig() can take a keyword argument handlers since Python 3.3, which simplifies logging setup a lot, especially when setting up multiple handlers with the same formatter:",
2015,"I'm using Python's logging module to log some debug strings to a file which works pretty well. Now in addition, I'd like to use this module to also print the strings out to stdout. How do I do this? In order to log my strings to a file I use following code:","Adding a StreamHandler without arguments goes to stderr instead of stdout. If some other process has a dependency on the stdout dump (i.e. when writing an NRPE plugin), then make sure to specify stdout explicitly or you might run into some unexpected troubles.",
2016,"I'm using Python's logging module to log some debug strings to a file which works pretty well. Now in addition, I'd like to use this module to also print the strings out to stdout. How do I do this? In order to log my strings to a file I use following code:","Here is a complete, nicely wrapped solution based on Waterboy's answer and various other sources. It supports logging to both console and log file, allows for different log level settings, provides colorized output and is easily configurable (also available as Gist):",
2017,"I'm using Python's logging module to log some debug strings to a file which works pretty well. Now in addition, I'd like to use this module to also print the strings out to stdout. How do I do this? In order to log my strings to a file I use following code:","Either run basicConfig with stream=sys.stdout as the argument prior to setting up any other handlers or logging any messages, or manually add a StreamHandler that pushes messages to stdout to the root logger (or any other logger you want, for that matter).",
2018,Is there a way to expand a Python tuple into a function - as actual parameters?,myfun(*some_tuple) does exactly what you request. The * operator simply unpacks the tuple (or any iterable) and passes them as the positional arguments to the function. Read more about unpacking arguments.,
2025,How to fix it?,"This is the classic ""unicode issue"".   I believe that explaining this is beyond the scope of a StackOverflow answer to completely explain what is happening.  ",
2026,How to fix it?,"In some cases, when you check your default encoding (print sys.getdefaultencoding()), it returns that you are using ASCII. If you change to UTF-8, it doesn't work, depending on the content of your variable.
I found another way:    ",
2033,"This ""underscoring"" seems to occur a lot, and I was wondering if this was a requirement in the Python language, or merely a matter of convention?","The other respondents are correct in describing the double leading and trailing underscores as a naming convention for ""special"" or ""magic"" methods.",
2035,"This ""underscoring"" seems to occur a lot, and I was wondering if this was a requirement in the Python language, or merely a matter of convention?",Actually I use _ method names when I need to differ between parent and child class names. I've read some codes that used this way of creating parent-child classes. As an example I can provide this code: ,
2042,I want to plot a graph with one logarithmic axis using matplotlib. ,You can use the Axes.set_yscale method. That allows you to change the scale after the Axes object is created. That would also allow you to build a control to let the user pick the scale if you needed to.,
2043,I want to plot a graph with one logarithmic axis using matplotlib. ,"First of all, it's not very tidy to mix pylab and pyplot code. What's more, pyplot style is preferred over using pylab.",
2046,I want to plot a graph with one logarithmic axis using matplotlib. ,"I know this is slightly off-topic, since some comments mentioned the ax.set_yscale('log') to be ""nicest"" solution I thought a rebuttal could be due. I would not recommend using ax.set_yscale('log') for histograms and bar plots. In my version (0.99.1.1) i run into some rendering problems - not sure how general this issue is. However both bar and hist has optional arguments to set the y-scale to log, which work fine.",
2049,"When writing custom classes it is often important to allow equivalence by means of the == and != operators. In Python, this is made possible by implementing the __eq__ and __ne__ special methods, respectively. The easiest way I've found to do this is the following method:","The way you describe is the way I've always done it. Since it's totally generic, you can always break that functionality out into a mixin class and inherit it in classes where you want that functionality.",
2050,"When writing custom classes it is often important to allow equivalence by means of the == and != operators. In Python, this is made possible by implementing the __eq__ and __ne__ special methods, respectively. The easiest way I've found to do this is the following method:",Not a direct answer but seemed relevant enough to be tacked on as it saves a bit of verbose tedium on occasion. Cut straight from the docs...,
2051,"When writing custom classes it is often important to allow equivalence by means of the == and != operators. In Python, this is made possible by implementing the __eq__ and __ne__ special methods, respectively. The easiest way I've found to do this is the following method:","You don't have to override both __eq__ and __ne__ you can override only __cmp__ but this will make an implication on the result of ==, !==, < , > and so on.",
2052,"Let's say I have two lists, l1 and l2.  I want to perform l1 - l2, which returns all elements of l1 not in l2.",Python has a language feature called List Comprehensions that is perfectly suited to making this sort of thing extremely easy. The following statement does exactly what you want and stores the result in l3:,
2055,"Let's say I have two lists, l1 and l2.  I want to perform l1 - l2, which returns all elements of l1 not in l2.","Expanding on Donut's answer and the other answers here, you can get even better results by using a generator comprehension instead of a list comprehension, and by using a set data structure (since the in operator is O(n) on a list but O(1) on a set).",
2057,I have a set like this:,"e.g, keep.update(xrange(11)) for your specific example.  Or, if you have to produce the values in a loop for some other reason,",
2061,I have a set like this:,"This question is the first one that shows up on Google when one looks up ""Python how to add elements to set"", so it's worth noting explicitly that, if you want to add a whole string to a set, it should be added with .add(), not .update().",
2063,Is it possible to read binary MATLAB .mat files in Python?,"Neither scipy.io.savemat, nor scipy.io.loadmat work for MATLAB arrays version 7.3. But the good part is that MATLAB version 7.3 files are hdf5 datasets. So they can be read using a number of tools, including NumPy.",
2067,Why are there no ++ and -- operators in Python?,"It's not because it doesn't make sense; it makes perfect sense to define ""x++"" as ""x += 1, evaluating to the previous binding of x"".",
2068,Why are there no ++ and -- operators in Python?,"This original answer I wrote is a myth from the folklore of computing: debunked by Dennis Ritchie as ""historically impossible"" as noted in the letters to the editors of Communications of the ACM July 2012 doi:10.1145/2209249.2209251",
2070,Why are there no ++ and -- operators in Python?,"Of course, we could say ""Guido just decided that way"", but I think the question is really about the reasons for that decision. I think there are several reasons:",
2075,"How to make pytest print traceback, so I would see where in the whatever function an exception was raised?",pytest constantly evolves and with one of the nice changes in the recent past it is now possible to simultaneously test for,
2077,Consider three functions:,"On the actual behavior, there is no difference. They all return None and that's it. However, there is a time and  place for all of these.
The following instructions are basically how the different methods should be used (or at least how I was taught they should be used), but they are not absolute rules so you can mix them up if you feel necessary to.",
2081,Consider three functions:,"In terms of functionality these are all the same, the difference between them is in code readability and style (which is important to consider)",
2087,How do I tell the time difference in minutes between two datetime objects?,"Subtracting the later time from the first time difference = later_time - first_time creates a datetime object that only holds the difference.
In the example above it is 0 minutes, 8 seconds and 562000 microseconds.",
2089,How do I tell the time difference in minutes between two datetime objects?,"New at Python 2.7 is the timedelta instance method .total_seconds(). From the Python docs, this is equivalent to (td.microseconds + (td.seconds + td.days * 24 * 3600) * 10**6) / 10**6.",
2095,If I do this:,It's all about operator precedence (in is stronger than not). But it can be easily corrected by adding parentheses at the right place:,
2104,How to check whether a pandas DataFrame is empty? In my case I want to print some message in terminal if the DataFrame is empty. ,"To see if a dataframe is empty, I argue that one should test for the length of a dataframe's columns index:",
2107,I saw this in someone's code:,"In Python 3, they made the / operator do a floating-point division, and added the // operator to do integer division (i.e., quotient without remainder); whereas in Python 2, the / operator was simply integer division, unless one of the operands was already a floating point number.",
2109,I saw this in someone's code:,"To complement these other answers, the // operator also offers significant (3x) performance benefits over /, presuming you want integer division.",
2110,I saw this in someone's code:,"To complement Alex's response, I would add that starting from Python 2.2.0a2, from __future__ import division is a convenient alternative to using lots of float(…)/….  All divisions  perform float divisions, except those with //.  This works with all versions from 2.2.0a2 on.",
2111,I saw this in someone's code:,// can be considered an alias to math.floor() for divisions with return value of type float. It operates as no-op for divisions with return value of type int.,
2113,PEP 8 states:,"Putting the import statement inside of a function can prevent circular dependencies.
For example, if you have 2 modules, X.py and Y.py, and they both need to import each other, this will cause a circular dependency when you import one of the modules causing an infinite loop. If you move the import statement in one of the modules then it won't try to import the other module till the function is called, and that module will already be imported, so no infinite loop. Read here for more - effbot.org/zone/import-confusion.htm",
2114,PEP 8 states:,"I have adopted the practice of putting all imports in the functions that use them, rather than at the top of the module.",
2115,PEP 8 states:,Most of the time this would be useful for clarity and sensible to do but it's not always the case.  Below are a couple of examples of circumstances where module imports might live elsewhere.,
2116,PEP 8 states:,"The first variant is indeed more efficient than the second when the function is called either zero or one times.  With the second and subsequent invocations, however, the ""import every call"" approach is actually less efficient.  See this link for a lazy-loading technique that combines the best of both approaches by doing a ""lazy import"".",
2122,"I came across the Python with statement for the first time today.  I've been using Python lightly for several months and didn't even know of its existence!  Given its somewhat obscure status, I thought it would be worth asking:","I believe this has already been answered by other users before me, so I only add it for the sake of completeness: the with statement simplifies exception handling by encapsulating common preparation and cleanup tasks in so-called context managers. More details can be found in PEP 343. For instance, the open statement is a context manager in itself, which lets you open a file, keep it open as long as the execution is in the context of the with statement where you used it, and close it as soon as you leave the context, no matter whether you have left it because of an exception or during regular control flow. The with statement can thus be used in ways similar to the RAII pattern in C++: some resource is acquired by the with statement and released when you leave the with context.",
2124,"I came across the Python with statement for the first time today.  I've been using Python lightly for several months and didn't even know of its existence!  Given its somewhat obscure status, I thought it would be worth asking:",The Python with statement is built-in language support of the Resource Acquisition Is Initialization idiom commonly used in C++. It is intended to allow safe acquisition and release of operating system resources.,
2125,"I came across the Python with statement for the first time today.  I've been using Python lightly for several months and didn't even know of its existence!  Given its somewhat obscure status, I thought it would be worth asking:",An example of an antipattern might be to use the with inside a loop when it would be more efficient to have the with outside the loop,
2129,What will happen if two modules import each other?,"If you do import foo (inside bar.py) and import bar (inside foo.py), it will work fine. By the time anything actually runs, both modules will be fully loaded and will have references to each other.",
2135,"In Python, there are two similarly-named functions, exit() and sys.exit(). What's the difference and when should I use one over the other?","If I use exit() in a code and run it in the shell, it shows a message asking whether I want to kill the program or not. It's really disturbing.
See here",
2136,"In Python, there are two similarly-named functions, exit() and sys.exit(). What's the difference and when should I use one over the other?","Usually, the code runs through the lines until the end and the program exists automatically.
Occasionally, we would like to ask the program to close before the full cycle run.
An example case is when you implement authentication and a user fails to authenticate, in some cases you would like to exit the program.",
2137,When should you use generator expressions and when should you use list comprehensions in Python?,"John's answer is good (that list comprehensions are better when you want to iterate over something multiple times).  However, it's also worth noting that you should use a list if you want to use any of the list methods.  For example, the following code won't work:",
2138,When should you use generator expressions and when should you use list comprehensions in Python?,"Iterating over the generator expression or the list comprehension will do the same thing. However, the list comprehension will create the entire list in memory first while the generator expression will create the items on the fly, so you are able to use it for very large (and also infinite!) sequences.",
2139,When should you use generator expressions and when should you use list comprehensions in Python?,"Use list comprehensions when the result needs to be iterated over multiple times, or where speed is paramount. Use generator expressions where the range is large or infinite.",
2140,When should you use generator expressions and when should you use list comprehensions in Python?,"The important point is that the list comprehension creates a new list. The generator creates a an iterable object that will ""filter"" the source material on-the-fly as you consume the bits.",
2141,When should you use generator expressions and when should you use list comprehensions in Python?,"The benefit of a generator expression is that it uses less memory since it doesn't build the whole list at once.  Generator expressions are best used when the list is an intermediary, such as summing the results, or creating a dict out of the results.",
2143,I saw this in someone's code. What does it mean?,If you know what context managers are then you need nothing more to understand __enter__ and __exit__ magic methods. Lets see a very simple example.,
2144,I saw this in someone's code. What does it mean?,"I found it strangely difficult to locate the python docs for __enter__ and __exit__ methods by Googling, so to help others here is the link:",
2146,I saw this in someone's code. What does it mean?,"This is called context manager and I just want to add that similar approaches exist for other programming languages. Comparing them could be helpful in understanding the context manager in python.
Basically, a context manager is used when we are dealing with some resources (file, network, database) that need to be initialized and at some point, tear downed (disposed). In Java 7 and above we have automatic resource management that takes the form of:",
2147,I'm running into a weird error when trying to install Django on my computer.,"You need to add the path of your pip installation to your PATH system variable. By default, pip is installed to C:\Python34\Scripts\pip (pip now comes bundled with new versions of python), so the path ""C:\Python34\Scripts"" needs to be added to your PATH variable.",
2154,"I'm trying to plot a figure without tickmarks or numbers on either of the axes (I use axes in the traditional sense, not the matplotlib nomenclature!). An issue I have come across is where matplotlib adjusts the x(y)ticklabels by subtracting a value N, then adds N at the end of the axis.","If you are like me and don't always retrieve the axes, ax, when plotting the figure, then a simple solution would be to do ",
2156,"I'm trying to plot a figure without tickmarks or numbers on either of the axes (I use axes in the traditional sense, not the matplotlib nomenclature!). An issue I have come across is where matplotlib adjusts the x(y)ticklabels by subtracting a value N, then adds N at the end of the axis.","I was not actually able to render an image without borders or axis data based on any of the code snippets here (even the one accepted at the answer). After digging through some API documentation, I landed on this code to render my image",
2159,I have this code:,"python -c 'from myfile import hello; hello()' where myfile must be replaced with the basename of your Python script. (E.g., myfile.py becomes myfile).",
2161,I have this code:,"I wrote a quick little Python script that is callable from a bash command line. It takes the name of the module, class and method you want to call and the parameters you want to pass. I call it PyRun and left off the .py extension and made it executable with chmod +x PyRun so that I can just call it quickly as follow:",
2166,If I have a function like this:,"If you're using typing (introduced in Python 3.5) you can use typing.Optional, where Optional[X] is equivalent to Union[X, None]. It is used to signal that the explicit value of None is allowed . From typing.Optional:",
2170,Is there a way to check if a column exists in a Pandas DataFrame?,"Just to suggest another way without using if statements, you can use the get() method for DataFrames. For performing the sum based on the question:",
2172,"I want to remove a certain environment created with conda. How can I achieve that? Let's say I have an active testenv environment. I tried, by following documentation, with:","You probably didn't fully deactivate the Conda environment - remember, the command you need to use with Conda is conda deactivate (for older versions, use source deactivate). So it may be wise to start a new shell and activate the environment in that before you try. Then deactivate it.",
2179,"I would like to increase the width of the ipython notebook in my browser. I have a high-resolution screen, and I would like to expand the cell width/size to make use of this extra space.","If you don't want to change your default settings, and you only want to change the width of the current notebook you're working on, you can enter the following into a cell:",
2183,"I would like to increase the width of the ipython notebook in my browser. I have a high-resolution screen, and I would like to expand the cell width/size to make use of this extra space.",What I do usually after new installation is to modify the main css file where all visual styles are stored. I use Miniconda but location is similar with others C:\Miniconda3\Lib\site-packages\notebook\static\style\style.min.css,
2185,How can I check if a Python object is a string (either regular or Unicode)?,"In Python 3.x basestring is not available anymore, as str is the sole string type (with the semantics of Python 2.x's unicode).",
2187,How can I check if a Python object is a string (either regular or Unicode)?,"If you want to check with no regard for Python version (2.x vs 3.x), use six (PyPI) and its string_types attribute:",
2192,"I have two existing dictionaries, and I wish to 'append' one of them to the other. By that I mean that the key,values of the other dictionary should be made into the first dictionary. For example:","Assuming that you do not want to change orig, you can either do a copy and update like the other answers, or you can create a new dictionary in one step by passing all items from both  dictionaries into the dict constructor:",
2195,"When debugging in PHP, I frequently find it useful to simply stick a var_dump() in my code to show me what a variable is, what its value is, and the same for anything that it contains.","To display a value nicely, you can use the pprint module. The easiest way to dump all variables with it is to do",
2197,"When debugging in PHP, I frequently find it useful to simply stick a var_dump() in my code to show me what a variable is, what its value is, and the same for anything that it contains.",PHP's var_export() usually shows a serialized version of the object that can be exec()'d to re-create the object.    The closest thing to that in Python is repr(),
2199,"Given a datetime.time value in Python, is there a standard way to add an integer number of seconds to it, so that 11:34:59 + 3 = 11:35:02, for example?","You can use full datetime variables with timedelta, and by providing a dummy date then using time to just get the time value.",
2202,"Given a datetime.time value in Python, is there a standard way to add an integer number of seconds to it, so that 11:34:59 + 3 = 11:35:02, for example?","Thanks to @Pax Diablo, @bvmou and @Arachnid for the suggestion of using full datetimes throughout.  If I have to accept datetime.time objects from an external source, then this seems to be an alternative add_secs_to_time() function:",
2205,"I'm a little bit confused with JSON in Python.
To me, it seems like a dictionary, and for that reason
I'm trying to do that:","When I started using json, I was confused and unable to figure it out for some time, but finally I got what I wanted
Here is the simple solution    ",
2208,In all other languages I've worked with the super constructor is invoked implicitly. How does one invoke it in Python? I would expect super(self) but this doesn't work.,"In line with the other answers, there are multiple ways to call super class methods (including the constructor), however in Python-3.x the process has been simplified:",
2213,Are there situations in which sys.stdout.write() is preferable to print? ,"print is just a thin wrapper that formats the inputs (modifiable, but by default with a space between args and newline at the end) and calls the write function of a given object. By default this object is sys.stdout, but you can pass a file using the ""chevron"" form. For example:",
2214,Are there situations in which sys.stdout.write() is preferable to print? ,print first converts the object to a string (if it is not already a string). It will also put a space before the object if it is not the start of a line and a newline character at the end.,
2219,I'm trying to download and save an image from the web using python's requests module.,Get a file-like object from the request and copy it to a file. This will also avoid reading the whole thing into memory at once.,
2221,I'm trying to download and save an image from the web using python's requests module.,"I have the same need for downloading images using requests. I first tried the answer of Martijn Pieters, and it works well. But when I did a profile on this simple function, I found that it uses so many function calls compared to urllib and urllib2.",
2222,I'm trying to download and save an image from the web using python's requests module.,This might be easier than using requests. This is the only time I'll ever suggest not using requests to do HTTP stuff.,
2227,"I am trying to install a Python package from a private GitHub repository. For a public repository, I can issue the following command which works fine:","I found it much easier to use tokens than SSH keys. I couldn't find much good documentation on this, so I came across this solution mainly through trial and error. Further, installing from pip and setuptools have some subtle differences; but this way should work for both.",
2228,Why or why not?,"For performance, especially when you're iterating over a large range, xrange() is usually better.  However, there are still a few cases why you might prefer range():",
2230,Why or why not?,"You should favour range() over xrange() only when you need an actual list. For instance, when you want to modify the list returned by range(), or when you wish to slice it. For iteration or even just normal indexing, xrange() will work fine (and usually much more efficiently). There is a point where range() is a bit faster than xrange() for very small lists, but depending on your hardware and various other details, the break-even can be at a result of length 1 or 2; not something to worry about. Prefer xrange().",
2231,Why or why not?,"One other difference is that Python 2 implementation of xrange() can't support numbers bigger than C ints, so if you want to have a range using Python's built in large number support, you have to use range().",
2232,Why or why not?,"xrange() is more efficient because instead of generating a list of objects, it just generates one object at a time. Instead of 100 integers, and all of their overhead, and the list to put them in, you just have one integer at a time. Faster generation, better memory use, more efficient code.",
2235,In Python remove() will remove the first occurrence of value in a list.,"You can use slice assignment if the original list must be modified, while still using an efficient list comprehension (or generator expression).",
2238,"Here's the Python code to run an arbitrary command returning its stdout data, or raise an exception on non-zero exit codes:","I don't know much about the low level details; but, given that in
python 2.6 the API offers the ability to wait for threads and
terminate processes, what about running the process in a separate
thread?",
2242,"Here's the Python code to run an arbitrary command returning its stdout data, or raise an exception on non-zero exit codes:","Here is Alex Martelli's solution as a module with proper process killing. The other approaches do not work because they do not use proc.communicate(). So if you have a process that produces lots of output, it will fill its output buffer and then block until you read something from it.",
2245,"For example, I have a string like this(return value of subprocess.check_output):","Please, see oficial encode() and decode() documentation from codecs library. utf-8 is the default encoding for the functions, but there are severals standard encodings in Python 3, like latin_1 or utf_32.",
2248,"
Want to improve this question? Update the question so it's on-topic for Stack Overflow.
                ","I use decorators for type checking parameters which are passed to my Python methods via some RMI. So instead of repeating the same parameter counting, exception-raising mumbo-jumbo again and again. ",
2251,"I'm trying to port a shell script to the much more readable python version. The original shell script starts several processes (utilities, monitors, etc.) in the background with ""&"". How can I achieve the same effect in python? I'd like these processes not to die when the python scripts complete. I am sure it's related to the concept of a daemon somehow, but I couldn't find how to do this easily.","While jkp's solution works, the newer way of doing things (and the way the documentation recommends) is to use the subprocess module. For simple commands its equivalent, but it offers more options if you want to do something complicated.",
2252,"I'm trying to port a shell script to the much more readable python version. The original shell script starts several processes (utilities, monitors, etc.) in the background with ""&"". How can I achieve the same effect in python? I'd like these processes not to die when the python scripts complete. I am sure it's related to the concept of a daemon somehow, but I couldn't find how to do this easily.",Note: This answer is less current than it was when posted in 2009. Using the subprocess module shown in other answers is now recommended in the docs,
2255,"I'm trying to port a shell script to the much more readable python version. The original shell script starts several processes (utilities, monitors, etc.) in the background with ""&"". How can I achieve the same effect in python? I'd like these processes not to die when the python scripts complete. I am sure it's related to the concept of a daemon somehow, but I couldn't find how to do this easily.","Use subprocess.Popen() with the close_fds=True parameter, which will allow the spawned subprocess to be detached from the Python process itself and continue running even after Python exits.",
2256,"What's the ""Bad magic number"" ImportError in python, and how do I fix it?",The magic number comes from UNIX-type systems where the first few bytes of a file held a marker indicating the file type.,
2259,"What's the ""Bad magic number"" ImportError in python, and how do I fix it?","Take the pyc file to a windows machine. Use any Hex editor to open this pyc file. I used freeware 'HexEdit'. Now read hex value of first two bytes. In my case, these were 03 f3.",
2261,I'm thinking about putting the virtualenv for a Django web app I am making inside my git repository for the app. It seems like an easy way to keep deploy's simple and easy. Is there any reason why I shouldn't do this?,"I use pip freeze to get the packages I need into a requirements.txt file and add that to my repository.  I tried to think of a way of why you would want to store the entire virtualenv, but I could not.",
2262,I'm thinking about putting the virtualenv for a Django web app I am making inside my git repository for the app. It seems like an easy way to keep deploy's simple and easy. Is there any reason why I shouldn't do this?,"Storing the virtualenv directory inside git will, as you noted, allow you to deploy the whole app by just doing a git clone (plus installing and configuring Apache/mod_wsgi).  One potentially significant issue with this approach is that on Linux the full path gets hard-coded in the venv's activate, django-admin.py, easy_install, and pip scripts.  This means your virtualenv won't entirely work if you want to use a different path, perhaps to run multiple virtual hosts on the same server.  I think the website may actually work with the paths wrong in those files, but you would have problems the next time you tried to run pip.",
2263,I'm thinking about putting the virtualenv for a Django web app I am making inside my git repository for the app. It seems like an easy way to keep deploy's simple and easy. Is there any reason why I shouldn't do this?,I used to do the same until I started using libraries that are compiled differently depending on the environment such as PyCrypto. My PyCrypto mac wouldn't work on Cygwin wouldn't work on Ubuntu.,
2264,I'm thinking about putting the virtualenv for a Django web app I am making inside my git repository for the app. It seems like an easy way to keep deploy's simple and easy. Is there any reason why I shouldn't do this?,I think one of the main problems which occur is that the virtualenv might not be usable by other people. Reason is that it always uses absolute paths. So if you virtualenv was for example in /home/lyle/myenv/ it will assume the same for all other people using this repository (it must be exactly the same absolute path). You can't presume people using the same directory structure as you.,
2265,I'm thinking about putting the virtualenv for a Django web app I am making inside my git repository for the app. It seems like an easy way to keep deploy's simple and easy. Is there any reason why I shouldn't do this?,"It's not a good idea to include any environment-dependent component or setting in your repos as one of the key aspects of using a repo, is perhaps, sharing it with other developers.  Here is how I would setup my development environment on a Windows PC (say, Win10). ",
2266,Why is cls sometimes used instead of self as an argument in Python classes?,"The distinction between ""self"" and ""cls"" is defined in PEP 8 . As Adrien said, this is not mandatory. It's a coding style. PEP 8 says:",
2267,Why is cls sometimes used instead of self as an argument in Python classes?,"cls implies that method belongs to the class while self implies that the  method is related to instance of the class,therefore member with cls is accessed by class name where as the one with self is accessed by instance of the class...it is the same concept as static member and non-static members in java if you are from java background.",
2269,Why is cls sometimes used instead of self as an argument in Python classes?,"This is very good question but not as wanting as question.
There is difference between 'self' and 'cls' used method though analogically they are at same place ",
2270,Why is cls sometimes used instead of self as an argument in Python classes?,"Instead of accepting a self parameter, class methods take a cls parameter that points to the class—and not the object instance—when
  the method is called.
  Since the class method only has access to this cls argument, it can’t
  modify object instance state. That would require access to self . However, class methods can still modify class state that applies across all
  instances of the class.",
2275,"I need to join a list of items.  Many  of the items in the list are integer values returned  from a function;  i.e.,","There's nothing wrong with passing integers to str. One reason you might not do this is that myList is really supposed to be a list of integers e.g. it would be reasonable to sum the values in the list. In that case, do not pass your ints to str before appending them to myList. If you end up not converting to strings before appending, you can construct one big string by doing something like",
2276,"I need to join a list of items.  Many  of the items in the list are integer values returned  from a function;  i.e.,",The map function in python can be used. It takes two arguments. The first argument is the function which has to be used for each element of the list. The second argument is the iterable.,
2282,"I'm building a simple helper script for work that will copy a couple of template files in our code base to the current directory. I don't, however, have the absolute path to the directory where the templates are stored. I do have a relative path from the script but when I call the script it treats that as a path relative to the current working directory. Is there a way to specify that this relative url is from the location of the script instead?","It's 2018 now, and Python have already evolve to the __future__ long time ago. So how about using the amazing pathlib coming with Python 3.4 to accomplish the task instead of struggling with os, os.path, glob, shutil, etc.",
2285,"I have not seen clear examples with use-cases for Pool.apply, Pool.apply_async and Pool.map. I am mainly using Pool.map; what are the advantages of others?","Here is an overview in a table format in order to show the differences between Pool.apply, Pool.apply_async, Pool.map and Pool.map_async. When choosing one, you have to take multi-args, concurrency, blocking, and ordering into account:",
2287,"The above outputs on my Terminal. I am on Mac OS 10.7.x. I have Python 2.7.1, and followed this tutorial to get Beautiful Soup and lxml, which both installed successfully and work with a separate test file located here. In the Python script that causes this error, I have included this line:
    from pageCrawler import comparePages
And in the pageCrawler file I have included the following two lines:
    from bs4 import BeautifulSoup
from urllib2 import urlopen","I have a suspicion that this is related to the parser that BS will use to read the HTML.  They document is here, but if you're like me (on OSX) you might be stuck with something that requires a bit of work:",
2297,"I know that I can use something like string[3:4] to get a substring in Python, but what does the 3 mean in somesequence[::3]?","it means 'nothing for the first argument, nothing for the second, and jump by three'. It gets every third item of the sequence sliced.
Extended slices is what you want. New in Python 2.3",
2298,"I know that I can use something like string[3:4] to get a substring in Python, but what does the 3 mean in somesequence[::3]?","Python sequence slice addresses can be written as a[start:end:step] and any of start, stop or end can be dropped.  a[::3] is every third element of the sequence.",
2300,"I know that I can use something like string[3:4] to get a substring in Python, but what does the 3 mean in somesequence[::3]?","s[i:j:k] is, according to the documentation, ""slice of s from i to j with step k"".  When i and j are absent, the whole sequence is assumed and thus s[::k] means ""every k-th item"".",
2301,"I know that I can use something like string[3:4] to get a substring in Python, but what does the 3 mean in somesequence[::3]?","This visual example will show you how to a neatly select elements in a NumPy Matrix (2 dimensional array) in a pretty entertaining way (I promise). Step 2 below illustrate the usage of that ""double colons"" :: in question.",
2317,I have a small python project that has the following structure - ,"Actually every logger is a child of the parent's package logger (i.e. package.subpackage.module inherits configuration from package.subpackage), so all you need to do is just to configure the root logger. This can be achieved by logging.config.fileConfig (your own config for loggers) or logging.basicConfig (sets the root logger). Setup logging in your entry module (__main__.py or whatever you want to run, for example main_script.py. __init__.py works as well)",
2323,Does * have a special meaning in Python as it does in C? I saw a function like this in the Python Cookbook:,"All of the above answers were perfectly clear and complete, but just for the record I'd like to confirm that the meaning of * and ** in python has absolutely no similarity with the meaning of similar-looking operators in C. ",
2324,Does * have a special meaning in Python as it does in C? I saw a function like this in the Python Cookbook:,A single star means that the variable 'a' will be a tuple of extra parameters that were supplied to the function.  The double star means the variable 'kw' will be a variable-size dictionary of extra parameters that were supplied with keywords.,
2326,"filter, map, and reduce work perfectly in Python 2. Here is an example:",You can read about the changes in What's New In Python 3.0. You should read it thoroughly when you move from 2.x to 3.x since a lot has been changed.,
2327,"filter, map, and reduce work perfectly in Python 2. Here is an example:","The functionality of map and filter was intentionally changed to return iterators, and reduce was removed from being a built-in and placed in functools.reduce.",
2328,"filter, map, and reduce work perfectly in Python 2. Here is an example:","As an addendum to the other answers, this sounds like a fine use-case for a context manager that will re-map the names of these functions to ones which return a list and introduce reduce in the global namespace.",
