question,answer,key phrases
"What does np.random.seed do in the below code from a Scikit-Learn tutorial? I'm not very familiar with NumPy's random state generator stuff, so I'd really appreciate a layman's terms explanation of this.",I have used this very often in neural networks. It is well known that when we start training a neural network we randomly initialise the weights. The model is trained on these weights on a particular dataset. After number of epochs you get trained set of weights. ,
"What does np.random.seed do in the below code from a Scikit-Learn tutorial? I'm not very familiar with NumPy's random state generator stuff, so I'd really appreciate a layman's terms explanation of this.",I hope to give a really short answer:,
I have a dataset,Use groupby and count:,
I have a dataset,If you want to apply to all columns you can use:,
I have a dataset,This short little line of code will give you the output you want.,
I have a dataset,value_counts - Returns object containing counts of unique values,
I have a dataset,In 0.18.1 groupby together with count does not give the frequency of unique values:,
"What is the way to update a package using pip?
those do not work:",The way is,
"What is the way to update a package using pip?
those do not work:","For a non-specific package and a more general solution, you can check out pip-review. A tool that checks what packages could/should be updated.",
"What is the way to update a package using pip?
those do not work:",use this code in teminal :,
"What is the way to update a package using pip?
those do not work:",tl;dr script to update all installed packages,
"What is the way to update a package using pip?
those do not work:","Save as xx.py
Then run Python3 xx.py
Environment: python3.5+ pip10.0+",
"I've heard it said that multiline lambdas can't be added in Python because they would clash syntactically with the other syntax constructs in Python.  I was thinking about this on the bus today and realized I couldn't think of a single Python construct that multiline lambdas clash with.  Given that I know the language pretty well, this surprised me.","Guido van Rossum (the inventor of Python) answers this exact question himself in an old blog post.
Basically, he admits that it's theoretically possible, but that any proposed solution would be un-Pythonic:",
"I've heard it said that multiline lambdas can't be added in Python because they would clash syntactically with the other syntax constructs in Python.  I was thinking about this on the bus today and realized I couldn't think of a single Python construct that multiline lambdas clash with.  Given that I know the language pretty well, this surprised me.",Look at the following:,
"I've heard it said that multiline lambdas can't be added in Python because they would clash syntactically with the other syntax constructs in Python.  I was thinking about this on the bus today and realized I couldn't think of a single Python construct that multiline lambdas clash with.  Given that I know the language pretty well, this surprised me.","This is generally very ugly (but sometimes the alternatives are even more ugly), so a workaround is to make a braces expression:",
"I've heard it said that multiline lambdas can't be added in Python because they would clash syntactically with the other syntax constructs in Python.  I was thinking about this on the bus today and realized I couldn't think of a single Python construct that multiline lambdas clash with.  Given that I know the language pretty well, this surprised me.",A couple of relevant links:,
"I've heard it said that multiline lambdas can't be added in Python because they would clash syntactically with the other syntax constructs in Python.  I was thinking about this on the bus today and realized I couldn't think of a single Python construct that multiline lambdas clash with.  Given that I know the language pretty well, this surprised me.",[Edit Edit] Since this question is somehow still active 12 years after being asked. I will continue the tradition of amending my answer every 4 years or so.,
Do you know if there is a built-in function to build a dictionary from an arbitrary object? I'd like to do something like this:,"Note that best practice in Python 2.7 is to use new-style classes (not needed with Python 3), i.e.",
Do you know if there is a built-in function to build a dictionary from an arbitrary object? I'd like to do something like this:,"Instead of x.__dict__, it's actually more pythonic to use vars(x).",
Do you know if there is a built-in function to build a dictionary from an arbitrary object? I'd like to do something like this:,"The dir builtin will give you all the object's attributes, including special methods like __str__, __dict__ and a whole bunch of others which you probably don't want. But you can do something like:",
Do you know if there is a built-in function to build a dictionary from an arbitrary object? I'd like to do something like this:,I've settled with a combination of both answers:,
Do you know if there is a built-in function to build a dictionary from an arbitrary object? I'd like to do something like this:,I thought I'd take some time to show you how you can translate an object to dict via dict(obj).,
If I have a class...,"In Python, this:",
If I have a class...,In simple words.,
If I have a class...,Something else to consider when this type of error is encountered:,
If I have a class...,"Newcomer to Python, I had this issue when I was using the Python's ** feature in a wrong way. Trying to call this definition from somewhere:",
If I have a class...,As mentioned in other answers - when you use an instance method you need to pass self as the first argument - this is the source of the error.,
"In Python, how do I read in a binary file and loop over each byte of that file?",Python 2.4 and Earlier,
"In Python, how do I read in a binary file and loop over each byte of that file?","This generator yields bytes from a file, reading the file in chunks:",
"In Python, how do I read in a binary file and loop over each byte of that file?",If the file is not too big that holding it in memory is a problem:,
"In Python, how do I read in a binary file and loop over each byte of that file?","To read a file — one byte at a time (ignoring the buffering)  — you could use the two-argument iter(callable, sentinel) built-in function:",
"In Python, how do I read in a binary file and loop over each byte of that file?","New in Python 3.5 is the pathlib module, which has a convenience method specifically to read in a file as bytes, allowing us to iterate over the bytes. I consider this a decent (if quick and dirty) answer:",
"Is there a way to find all Python PyPI packages that were installed with easy_install or pip?  I mean, excluding everything that was/is installed with the distributions tools (in this case apt-get on Debian).",pip freeze will output a list of installed packages and their versions. It also allows you to write those packages to a file that can later be used to set up a new environment.,
"Is there a way to find all Python PyPI packages that were installed with easy_install or pip?  I mean, excluding everything that was/is installed with the distributions tools (in this case apt-get on Debian).",As of version 1.3 of pip you can now use pip list,
"Is there a way to find all Python PyPI packages that were installed with easy_install or pip?  I mean, excluding everything that was/is installed with the distributions tools (in this case apt-get on Debian).",If anyone is wondering you can use the 'pip show' command.,
"Is there a way to find all Python PyPI packages that were installed with easy_install or pip?  I mean, excluding everything that was/is installed with the distributions tools (in this case apt-get on Debian).",Start with:,
"Is there a way to find all Python PyPI packages that were installed with easy_install or pip?  I mean, excluding everything that was/is installed with the distributions tools (in this case apt-get on Debian).","If Debian behaves like recent Ubuntu versions regarding pip install default target, it's dead easy: it installs to /usr/local/lib/ instead of /usr/lib (apt default target). Check https://askubuntu.com/questions/173323/how-do-i-detect-and-remove-python-packages-installed-via-pip/259747#259747",
I'd like to call a function in python using a dictionary.,"Figured it out for myself in the end. It is simple, I was just missing the ** operator to unpack the dictionary",
I'd like to call a function in python using a dictionary.,A few extra details that might be helpful to know (questions I had after reading this and went and tested):,
I'd like to call a function in python using a dictionary.,"In python, this is called ""unpacking"", and you can find a bit about it in the tutorial. The documentation of it sucks, I agree, especially because of how fantasically useful it is.",
I'd like to call a function in python using a dictionary.,Here ya go - works just any other iterable:,
I used to use perl -c programfile to check the syntax of a Perl program and then exit without executing it. Is there an equivalent way to do this for a Python script?,You can check the syntax by compiling it:,
I used to use perl -c programfile to check the syntax of a Perl program and then exit without executing it. Is there an equivalent way to do this for a Python script?,You can use these tools:,
I used to use perl -c programfile to check the syntax of a Perl program and then exit without executing it. Is there an equivalent way to do this for a Python script?,Save this as checker.py and run python checker.py yourpyfile.py.,
I used to use perl -c programfile to check the syntax of a Perl program and then exit without executing it. Is there an equivalent way to do this for a Python script?,"Here's another solution, using the ast module:",
I used to use perl -c programfile to check the syntax of a Perl program and then exit without executing it. Is there an equivalent way to do this for a Python script?,"Pyflakes does what you ask, it just checks the syntax. From the docs: ",
"Given a DataFrame with a column ""BoolCol"", we want to find the indexes of the DataFrame in which the values for ""BoolCol"" == True","df.iloc[i] returns the ith row of df. i does not refer to the index label, i is a 0-based index.",
"Given a DataFrame with a column ""BoolCol"", we want to find the indexes of the DataFrame in which the values for ""BoolCol"" == True",Can be done using numpy where() function:,
"Given a DataFrame with a column ""BoolCol"", we want to find the indexes of the DataFrame in which the values for ""BoolCol"" == True","If you want to use your dataframe object only once, use:",
"Given a DataFrame with a column ""BoolCol"", we want to find the indexes of the DataFrame in which the values for ""BoolCol"" == True",Simple way is to reset the index of the DataFrame prior to filtering:,
"Given a DataFrame with a column ""BoolCol"", we want to find the indexes of the DataFrame in which the values for ""BoolCol"" == True",First you may check query when the target column is type bool  (PS: about how to use it please check link ),
I have a Python program that uses YAML.  I attempted to install it on a new server using pip install yaml and it returns the following:,"You could try the search feature in pip, ",
I have a Python program that uses YAML.  I attempted to install it on a new server using pip install yaml and it returns the following:,pip install pyyaml,
I have a Python program that uses YAML.  I attempted to install it on a new server using pip install yaml and it returns the following:,"Update: Nowadays installing is done with pip, and for many users a wheel may be available (depending on your Mac and required version of PyYaml). In some cases libyaml is still required to build the C extension (on mac); this can be done with:",
I have a Python program that uses YAML.  I attempted to install it on a new server using pip install yaml and it returns the following:,If libyaml is not found or compiled PyYAML can do without it on Mavericks.,
I have a Python program that uses YAML.  I attempted to install it on a new server using pip install yaml and it returns the following:,"There are three YAML capable packages. Syck (pip install syck) which implements the YAML 1.0 specification from 2002; PyYAML (pip install pyyaml) which follows the YAML 1.1 specification from 2004; and ruamel.yaml which follows the latest (YAML 1.2, from 2009) specification.",
"If you are creating a 1d array, you can implement it as a List, or else use the 'array' module in the standard library.  I have always used Lists for 1d arrays.","Basically, Python lists are very flexible and can hold completely heterogeneous, arbitrary data, and they can be appended to very efficiently, in amortized constant time.  If you need to shrink and grow your list time-efficiently and without hassle, they are the way to go.  But they use a lot more space than C arrays, in part because each item in the list requires the construction of an individual Python object, even for data that could be represented with simple C types (e.g. float or uint64_t).",
"If you are creating a 1d array, you can implement it as a List, or else use the 'array' module in the standard library.  I have always used Lists for 1d arrays.","For almost all cases the normal list is the right choice. The arrays module is more like a thin wrapper over C arrays, which give you kind of strongly typed containers (see docs), with access to more C-like types such as signed/unsigned short or double, which are not part of the built-in types. I'd say use the arrays module only if you really need it, in all other cases stick with lists.",
"If you are creating a 1d array, you can implement it as a List, or else use the 'array' module in the standard library.  I have always used Lists for 1d arrays.","The array module is kind of one of those things that you probably don't have a need for if you don't know why you would use it (and take note that I'm not trying to say that in a condescending manner!).  Most of the time, the array module is used to interface with C code.  To give you a more direct answer to your question about performance:",
"If you are creating a 1d array, you can implement it as a List, or else use the 'array' module in the standard library.  I have always used Lists for 1d arrays.",It's a trade off !,
"If you are creating a 1d array, you can implement it as a List, or else use the 'array' module in the standard library.  I have always used Lists for 1d arrays.","My understanding is that arrays are stored more efficiently (i.e. as contiguous blocks of memory vs. pointers to Python objects), but I am not aware of any performance benefit.  Additionally, with arrays you must store primitives of the same type, whereas lists can store anything.",
I have this string:,A simple possibility (if you'd rather avoid REs) is,
I have this string:,A regular expression can be used to offer more control over the whitespace characters that are combined.,
I have this string:,"For completeness, you can also use:",
"
Want to improve this question? Update the question so it focuses on one problem only by editing this post.
                ","You can have a regular Python module, say config.py, like this:",
"
Want to improve this question? Update the question so it focuses on one problem only by editing this post.
                ","The sample config you provided is actually valid YAML.  In fact, YAML meets all of your demands, is implemented in a large number of languages, and is extremely human friendly.  I would highly recommend you use it.  The PyYAML project provides a nice python module, that implements YAML.  ",
"
Want to improve this question? Update the question so it focuses on one problem only by editing this post.
                ","I Found this the most useful and easy to use
https://wiki.python.org/moin/ConfigParserExamples",
"
Want to improve this question? Update the question so it focuses on one problem only by editing this post.
                ",Yaml and Json are the simplest and most commonly used file formats to store settings/config. PyYaml can be used to parse yaml. Json is already part of python from 2.5. Yaml is a superset of Json. Json will solve most uses cases except multi line strings where escaping is required. Yaml takes care of these cases too.,
"I am trying to implement a ""Digit Recognition OCR"" in OpenCV-Python (cv2). It is just for learning purposes. I would like to learn both KNearest and SVM features in OpenCV. ","Well, I decided to workout myself on my question to solve above problem. What I wanted is to implement a simpl OCR using KNearest or SVM features in OpenCV. And below is what I did and how. ( it is just for learning how to use KNearest for simple OCR purposes).",
"I am trying to implement a ""Digit Recognition OCR"" in OpenCV-Python (cv2). It is just for learning purposes. I would like to learn both KNearest and SVM features in OpenCV. ","For those who interested in C++ code can refer below code. 
Thanks Abid Rahman for the nice explanation.",
"I am trying to implement a ""Digit Recognition OCR"" in OpenCV-Python (cv2). It is just for learning purposes. I would like to learn both KNearest and SVM features in OpenCV. ","I had some problems to generate the training data, because it was hard sometimes to identify the last selected letter, so I rotated the image 1.5 degrees. Now each character is selected in order and the test still shows a 100% accuracy rate after training. Here is the code:",
"I need to install a package from PyPi straight within my script.
Maybe there's some module or distutils (distribute, pip etc.) feature which allows me to just execute something like pypi.install('requests') and requests will be installed into my virtualenv.","The officially recommended way to install packages from a script is by calling pip's command-line interface via a subprocess. Most other answers presented here are not supported by pip. Furthermore since pip v10, all code has been moved to pip._internal precisely in order to make it clear to users that programmatic use of pip is not allowed.",
"I need to install a package from PyPi straight within my script.
Maybe there's some module or distutils (distribute, pip etc.) feature which allows me to just execute something like pypi.install('requests') and requests will be installed into my virtualenv.",You can also use something like:,
"I need to install a package from PyPi straight within my script.
Maybe there's some module or distutils (distribute, pip etc.) feature which allows me to just execute something like pypi.install('requests') and requests will be installed into my virtualenv.","If you want to use pip to install required package and import it after installation, you can use this code:",
"I need to install a package from PyPi straight within my script.
Maybe there's some module or distutils (distribute, pip etc.) feature which allows me to just execute something like pypi.install('requests') and requests will be installed into my virtualenv.",This should work:,
"I need to install a package from PyPi straight within my script.
Maybe there's some module or distutils (distribute, pip etc.) feature which allows me to just execute something like pypi.install('requests') and requests will be installed into my virtualenv.",i added some exception handling to @Aaron's answer.,
"Is there a simple way to flatten a list of iterables with a list comprehension, or failing that, what would you all consider to be the best way to flatten a shallow list like this, balancing performance and readability?","If you're just looking to iterate over a flattened version of the data structure and don't need an indexable sequence, consider itertools.chain and company.",
"Is there a simple way to flatten a list of iterables with a list comprehension, or failing that, what would you all consider to be the best way to flatten a shallow list like this, balancing performance and readability?",You almost have it! The way to do nested list comprehensions is to put the for statements in the same order as they would go in regular nested for statements.,
"Is there a simple way to flatten a list of iterables with a list comprehension, or failing that, what would you all consider to be the best way to flatten a shallow list like this, balancing performance and readability?",@S.Lott: You inspired me to write a timeit app.,
"Is there a simple way to flatten a list of iterables with a list comprehension, or failing that, what would you all consider to be the best way to flatten a shallow list like this, balancing performance and readability?","sum(list_of_lists, []) would flatten it.",
"Is there a simple way to flatten a list of iterables with a list comprehension, or failing that, what would you all consider to be the best way to flatten a shallow list like this, balancing performance and readability?","This solution works for arbitrary nesting depths - not just the ""list of lists"" depth that some (all?) of the other solutions are limited to:",
I have a dataframe with over 200 columns. The issue is as they were generated the order is,"This assumes that sorting the column names will give the order you want.  If your column names won't sort lexicographically (e.g., if you want column Q10.3 to appear after Q9.1), you'll need to sort differently, but that has nothing to do with pandas.",
I have a dataframe with over 200 columns. The issue is as they were generated the order is,You can also do more succinctly:,
I have a dataframe with over 200 columns. The issue is as they were generated the order is,You can just do:,
I have a dataframe with over 200 columns. The issue is as they were generated the order is,Tweet's answer can be passed to BrenBarn's answer above with ,
I have a dataframe with over 200 columns. The issue is as they were generated the order is,"For several columns, You can put columns order what you want:",
"I want to iterate through the methods in a class, or handle class or instance objects differently based on the methods present. How do I get a list of class methods?",An example (listing the methods of the optparse.OptionParser class):,
"I want to iterate through the methods in a class, or handle class or instance objects differently based on the methods present. How do I get a list of class methods?","There is the dir(theobject) method to list all the fields and methods of your object (as a tuple) and the inspect module (as codeape write) to list the fields and methods with their doc (in """""").",
"I want to iterate through the methods in a class, or handle class or instance objects differently based on the methods present. How do I get a list of class methods?",Python 3.x answer without external libraries,
"I want to iterate through the methods in a class, or handle class or instance objects differently based on the methods present. How do I get a list of class methods?","Say you want to know all methods associated with list class
Just Type The following ",
"I want to iterate through the methods in a class, or handle class or instance objects differently based on the methods present. How do I get a list of class methods?",Try the property __dict__.,
I am in the process of learning Python and I have reached the section about the pass statement. The guide I'm using defines it as being a null statement that is commonly used as a placeholder.,"Suppose you are designing a new class with some methods that you don't want to implement, yet.",
I am in the process of learning Python and I have reached the section about the pass statement. The guide I'm using defines it as being a null statement that is commonly used as a placeholder.,"Python has the syntactical requirement that code blocks (after if, except, def, class etc.) cannot be empty. Empty code blocks are however useful in a variety of different contexts, such as in examples below, which are the most frequent use cases I have seen.",
I am in the process of learning Python and I have reached the section about the pass statement. The guide I'm using defines it as being a null statement that is commonly used as a placeholder.,"Besides its use as a placeholder for unimplemented functions, pass can be useful in filling out an if-else statement (""Explicit is better than implicit."")",
I am in the process of learning Python and I have reached the section about the pass statement. The guide I'm using defines it as being a null statement that is commonly used as a placeholder.,The best and most accurate way to think of pass is as a way to explicitly tell the interpreter to do nothing. In the same way the following code:,
I am in the process of learning Python and I have reached the section about the pass statement. The guide I'm using defines it as being a null statement that is commonly used as a placeholder.,"A common use case where it can be used 'as is' is to override a class just to create a type (which is otherwise the same as the superclass), e.g.",
How do I get the number of elements in a list in jinja2 template?,You can also use this syntax in expressions like,
How do I get the number of elements in a list in jinja2 template?,"Alex' comment looks good but I was still confused with using range.
The following worked for me while working on a for condition using length within range.",
How do I get the number of elements in a list in jinja2 template?,"I've experienced a problem with length of None, which leads to Internal Server Error: TypeError: object of type 'NoneType' has no len()",
How do I get the number of elements in a list in jinja2 template?,If for loop with array is used then you can use the following,
"Since Python's string can't be changed, I was wondering how to concatenate a string more efficiently?","The best way of appending a string to a string variable is to use + or +=. This is because it's readable and fast. They are also just as fast, which one you choose is a matter of taste, the latter one is the most common. Here are timings with the timeit module:",
"Since Python's string can't be changed, I was wondering how to concatenate a string more efficiently?","If you are concatenating a lot of values, then neither. Appending a list is expensive. You can use StringIO for that. Especially if you are building it up over a lot of operations.",
"Since Python's string can't be changed, I was wondering how to concatenate a string more efficiently?","In Python >= 3.6, the new f-string is an efficient way to concatenate a string.",
"Since Python's string can't be changed, I was wondering how to concatenate a string more efficiently?","Using in place string concatenation by '+' is THE WORST method of concatenation in terms of stability and cross implementation as it does not support all values. PEP8 standard discourages this and encourages the use of format(), join() and append() for long term use. ",
"Since Python's string can't be changed, I was wondering how to concatenate a string more efficiently?",You write this function,
"In Django doc,","Your understanding is mostly correct. You use select_related when the object that you're going to be selecting is a single object, so OneToOneField or a ForeignKey. You use prefetch_related when you're going to get a ""set"" of things, so ManyToManyFields as you stated or reverse ForeignKeys. Just to clarify what I mean by ""reverse ForeignKeys"" here's an example:",
"In Django doc,","Both methods achieve the same purpose, to forego unnecessary db queries. But they use different approaches for efficiency.",
"In Django doc,",Gone through the already posted answers. Just thought it would be better if I add an answer with actual example.,
It seems they canceled in Python 3 all the easy way to quickly load a script by removing execfile() ,"According to the documentation, instead of ",
It seems they canceled in Python 3 all the easy way to quickly load a script by removing execfile() ,You are just supposed to read the file and exec the code yourself. 2to3 current replaces,
It seems they canceled in Python 3 all the easy way to quickly load a script by removing execfile() ,"While exec(open(""filename"").read()) is often given as an alternative to execfile(""filename""), it misses important details that execfile supported.",
It seems they canceled in Python 3 all the easy way to quickly load a script by removing execfile() ,"As suggested on the python-dev mailinglist recently, the runpy module might be a viable alternative. Quoting from that message:",
It seems they canceled in Python 3 all the easy way to quickly load a script by removing execfile() ,"This one is better, since it takes the globals and locals from the caller:",
I am trying to subtract one date value from the value of datetime.datetime.today() to calculate how long ago something was. But it complains:,"In the standard library, there is no cross-platform way to create aware timezones without creating your own timezone class. (Edit: Python 3.9 introduces zoneinfo in the standard library which does provide this functionality.)",
I am trying to subtract one date value from the value of datetime.datetime.today() to calculate how long ago something was. But it complains:,"Get the current time, in a specific timezone:",
I am trying to subtract one date value from the value of datetime.datetime.today() to calculate how long ago something was. But it complains:,The standard library makes it much easier to specify UTC as the time zone:,
I am trying to subtract one date value from the value of datetime.datetime.today() to calculate how long ago something was. But it complains:,A one-liner using only the standard library works starting with Python 3.3. You can get a local timezone aware datetime object using astimezone (as suggested by johnchen902):,
I am trying to subtract one date value from the value of datetime.datetime.today() to calculate how long ago something was. But it complains:,Here's a stdlib solution that works on both Python 2 and 3:,
Does Python support short-circuiting in boolean expressions?,"Yep, both and and or operators short-circuit -- see the docs.",
Does Python support short-circuiting in boolean expressions?,"Let's first define a useful function to determine if something is executed or not. A simple function that accepts an argument, prints a message and returns the input, unchanged.",
Does Python support short-circuiting in boolean expressions?,Yes. Try the following in your python interpreter:,
Does Python support short-circuiting in boolean expressions?,"Yes, Python does support Short-circuit evaluation, minimal evaluation, or McCarthy evaluation for Boolean operators. It is used to reduce the number of evaluations for computing the output of boolean expression. Example -",
"I'm new to Python and Matplotlib, I would like to simply apply colormap to an image and write the resulting image, without using axes, labels, titles or anything usually automatically added by matplotlib. Here is what I did:","I think that the command axis('off') takes care of one of the problems more succinctly than changing each axis and the border separately. It still leaves the white space around the border however. Adding bbox_inches='tight' to the savefig command almost gets you there, you can see in the example below that the white space left is much smaller, but still present.",
"I'm new to Python and Matplotlib, I would like to simply apply colormap to an image and write the resulting image, without using axes, labels, titles or anything usually automatically added by matplotlib. Here is what I did:","I learned this trick from matehat, here:",
"I'm new to Python and Matplotlib, I would like to simply apply colormap to an image and write the resulting image, without using axes, labels, titles or anything usually automatically added by matplotlib. Here is what I did:",Possible simplest solution:,
"I'm new to Python and Matplotlib, I would like to simply apply colormap to an image and write the resulting image, without using axes, labels, titles or anything usually automatically added by matplotlib. Here is what I did:","No one mentioned imsave yet, which makes this a one-liner:",
"I'm new to Python and Matplotlib, I would like to simply apply colormap to an image and write the resulting image, without using axes, labels, titles or anything usually automatically added by matplotlib. Here is what I did:",This should remove all padding and borders:,
"I have a script named test1.py which is not in a module. It just has code that should execute when the script itself is run. There are no functions, classes, methods, etc. I have another script which runs as a service. I want to call test1.py from the script running as a service.",The usual way to do this is something like the following.,
"I have a script named test1.py which is not in a module. It just has code that should execute when the script itself is run. There are no functions, classes, methods, etc. I have another script which runs as a service. I want to call test1.py from the script running as a service.",This is possible in Python 2 using,
"I have a script named test1.py which is not in a module. It just has code that should execute when the script itself is run. There are no functions, classes, methods, etc. I have another script which runs as a service. I want to call test1.py from the script running as a service.",Another way:,
"I have a script named test1.py which is not in a module. It just has code that should execute when the script itself is run. There are no functions, classes, methods, etc. I have another script which runs as a service. I want to call test1.py from the script running as a service.","Using os you can make calls directly to your terminal. If you want to be even more specific you can concatenate your input string with local variables, ie.",
"I have a script named test1.py which is not in a module. It just has code that should execute when the script itself is run. There are no functions, classes, methods, etc. I have another script which runs as a service. I want to call test1.py from the script running as a service.","If you want test1.py to remain executable with the same functionality as when it's called inside service.py, then do something like:",
I want to build a query for sunburnt(solr interface) using class inheritance and therefore adding key - value pairs together. The sunburnt interface takes keyword arguments. How can I transform a dict ({'type':'Event'}) into keyword arguments (type='Event')?,Use the double-star (aka double-splat?) operator:,
I want to build a query for sunburnt(solr interface) using class inheritance and therefore adding key - value pairs together. The sunburnt interface takes keyword arguments. How can I transform a dict ({'type':'Event'}) into keyword arguments (type='Event')?,** operator would be helpful here. ,
I want to build a query for sunburnt(solr interface) using class inheritance and therefore adding key - value pairs together. The sunburnt interface takes keyword arguments. How can I transform a dict ({'type':'Event'}) into keyword arguments (type='Event')?,Here is a complete example showing how to use the ** operator to pass values from a dictionary as keyword arguments.,
"I have a directory that contains my Python unit tests. Each unit test module is of the form test_*.py. I am attempting to make a file called all_test.py that will, you guessed it, run all files in the aforementioned test form and return the result. I have tried two methods so far; both have failed. I will show the two methods, and I hope someone out there knows how to actually do this correctly.",With Python 2.7 and higher you don't have to write new code or use third-party tools to do this; recursive test execution via the command line is built-in.  Put an __init__.py in your test directory and:,
"I have a directory that contains my Python unit tests. Each unit test module is of the form test_*.py. I am attempting to make a file called all_test.py that will, you guessed it, run all files in the aforementioned test form and return the result. I have tried two methods so far; both have failed. I will show the two methods, and I hope someone out there knows how to actually do this correctly.","In python 3, if you're using unittest.TestCase:",
"I have a directory that contains my Python unit tests. Each unit test module is of the form test_*.py. I am attempting to make a file called all_test.py that will, you guessed it, run all files in the aforementioned test form and return the result. I have tried two methods so far; both have failed. I will show the two methods, and I hope someone out there knows how to actually do this correctly.","You could use a test runner that would do this for you.  nose is very good for example.  When run, it will find tests in the current tree and run them.",
"I have a directory that contains my Python unit tests. Each unit test module is of the form test_*.py. I am attempting to make a file called all_test.py that will, you guessed it, run all files in the aforementioned test form and return the result. I have tried two methods so far; both have failed. I will show the two methods, and I hope someone out there knows how to actually do this correctly.",This is now possible directly from unittest: unittest.TestLoader.discover.,
"I have a directory that contains my Python unit tests. Each unit test module is of the form test_*.py. I am attempting to make a file called all_test.py that will, you guessed it, run all files in the aforementioned test form and return the result. I have tried two methods so far; both have failed. I will show the two methods, and I hope someone out there knows how to actually do this correctly.","Well by studying the code above a bit (specifically using TextTestRunner and defaultTestLoader), I was able to get pretty close. Eventually I fixed my code by also just passing all test suites to a single suites constructor, rather than adding them ""manually"", which fixed my other problems. So here is my solution.",
"In a program I'm writing I have Python use the re.search() function to find matches in a block of text and print the results. However, the program exits once it finds the first match in the block of text.",Use re.findall or re.finditer instead.,
What are the advantages and disadvantages of each?,"Numpy matrices are strictly 2-dimensional, while numpy arrays (ndarrays) are
N-dimensional.  Matrix objects are a subclass of ndarray, so they inherit all
the attributes and methods of ndarrays.",
What are the advantages and disadvantages of each?,Scipy.org recommends that you use arrays:,
What are the advantages and disadvantages of each?,Just to add one case to unutbu's list. ,
What are the advantages and disadvantages of each?,"As per the official documents, it's not anymore advisable to use matrix class since it will be removed in the future.",
What are the advantages and disadvantages of each?,"As others have mentioned, perhaps the main advantage of matrix was that it provided a convenient notation for matrix multiplication.",
I've been making Python scripts for simple tasks at work and never really bothered packaging them for others to use. Now I have been assigned to make a Python wrapper for a REST API. I have absolutely no idea on how to start and I need help.,A module is a file containing Python definitions and statements. The file name is the module name with the suffix .py,
I've been making Python scripts for simple tasks at work and never really bothered packaging them for others to use. Now I have been assigned to make a Python wrapper for a REST API. I have absolutely no idea on how to start and I need help.,Python 3 - UPDATED 18th November 2015,
I've been making Python scripts for simple tasks at work and never really bothered packaging them for others to use. Now I have been assigned to make a Python wrapper for a REST API. I have absolutely no idea on how to start and I need help.,Since nobody did cover this question of the OP yet:,
I've been making Python scripts for simple tasks at work and never really bothered packaging them for others to use. Now I have been assigned to make a Python wrapper for a REST API. I have absolutely no idea on how to start and I need help.,"Once you have defined your chosen commands, you can simply drag and drop the saved file into the Lib folder in your python program files. ",
I've been making Python scripts for simple tasks at work and never really bothered packaging them for others to use. Now I have been assigned to make a Python wrapper for a REST API. I have absolutely no idea on how to start and I need help.,"Make a file named ""hello.py""",
"I have a Python file which might have to support Python versions < 3.x and >= 3.x. Is there a way to introspect the Python runtime to know the version which it is running (for example, 2.6 or 3.2.x)?","Sure, take a look at sys.version and sys.version_info.",
"I have a Python file which might have to support Python versions < 3.x and >= 3.x. Is there a way to introspect the Python runtime to know the version which it is running (for example, 2.6 or 3.2.x)?","Try this code, this should work:",
"I have a Python file which might have to support Python versions < 3.x and >= 3.x. Is there a way to introspect the Python runtime to know the version which it is running (for example, 2.6 or 3.2.x)?",Per sys.hexversion and API and ABI Versioning:,
"I have a Python file which might have to support Python versions < 3.x and >= 3.x. Is there a way to introspect the Python runtime to know the version which it is running (for example, 2.6 or 3.2.x)?","Just in case you want to see all of the gory details in human readable form, you can use:",
"I have a Python file which might have to support Python versions < 3.x and >= 3.x. Is there a way to introspect the Python runtime to know the version which it is running (for example, 2.6 or 3.2.x)?","The best solution depends on how much code is incompatible. If there are a lot of places you need to support Python 2 and 3, six is the compatibility module. six.PY2 and six.PY3 are two booleans if you want to check the version.",
What's the easiest way to add an empty column to a pandas DataFrame object?  The best I've stumbled upon is something like,"If I understand correctly, assignment should fill:",
What's the easiest way to add an empty column to a pandas DataFrame object?  The best I've stumbled upon is something like,"To add to DSM's answer and building on this associated question, I'd split the approach into two cases:",
What's the easiest way to add an empty column to a pandas DataFrame object?  The best I've stumbled upon is something like,an even simpler solution is: ,
What's the easiest way to add an empty column to a pandas DataFrame object?  The best I've stumbled upon is something like,I like:,
What's the easiest way to add an empty column to a pandas DataFrame object?  The best I've stumbled upon is something like,"Starting with v0.16.0, DF.assign() could be used to assign new columns (single/multiple) to a DF. These columns get inserted in alphabetical order at the end of the DF.",
"
Want to improve this question? Update the question so it's on-topic for Stack Overflow.
                ","Try PDFMiner. It can extract text from PDF files as HTML, SGML or ""Tagged PDF"" format.",
"
Want to improve this question? Update the question so it's on-topic for Stack Overflow.
                ",The PDFMiner package has changed since codeape posted.  ,
"
Want to improve this question? Update the question so it's on-topic for Stack Overflow.
                ",Since none for these solutions support the latest version of PDFMiner I wrote a simple solution that will return text of a pdf using PDFMiner. This will work for those who are getting import errors with process_pdf ,
"
Want to improve this question? Update the question so it's on-topic for Stack Overflow.
                ",Pdftotext An open source program (part of Xpdf) which you could call from python (not what you asked for but might be useful). I've used it with no problems. I think google use it in google desktop.,
